"","scale","prl","lgl","plc"
"1",5,6,7,7
"2",5,5,8,7
"3",5,9,8,8
"5",5,8,8,9
"6",6,6,7,7
"7",7,7,7,9
"8",4,5,8,7
"9",5,6,7,9
"10",7,8,8,8
"11",5,7,7,8
"12",5,6,6,5
"13",7,8,9,7
"14",5,6,7,7
"15",3,7,6,6
"16",6,8,9,8
"17",1,0,1,1
"18",7,7,8,8
"19",3,6,7,8
"20",7,8,8,6
"21",6,6,5,8
"22",6,3,2,5
"23",3,7,7,8
"24",5,4,9,6
"25",7,6,7,7
"26",3,6,7,7
"27",3,7,8,8
"28",3,6,8,8
"29",6,0,2,4
"30",3,6,6,8
"31",3,7,8,8
"33",6,7,9,8
"34",6,7,7,6
"36",9,3,7,7
"37",6,5,5,7
"38",0,5,5,5
"39",8,3,3,4
"40",5,7,9,8
"41",7,7,4,4
"42",7,6,7,8
"43",8,5,6,5
"44",5,4,6,7
"45",8,7,8,8
"46",3,8,8,8
"47",7,6,6,6
"48",2,2,3,2
"49",1,4,6,6
"50",5,6,10,8
"51",5,7,9,9
"52",3,7,8,6
"53",3,5,6,7
"54",5,7,9,9
"55",5,8,7,8
"56",5,7,8,7
"57",7,6,5,7
"58",7,7,7,7
"59",5,8,9,8
"60",5,6,6,7
"61",5,6,7,7
"62",5,6,6,6
"63",4,7,7,7
"64",5,6,8,8
"65",7,5,7,8
"66",5,5,8,5
"67",6,7,7,7
"68",5,7,10,8
"69",7,7,8,7
"70",3,7,9,8
"71",7,5,7,8
"72",2,7,8,6
"73",5,7,7,8
"74",7,7,8,8
"75",4,7,7,8
"76",7,7,8,8
"77",4,7,8,8
"78",4,7,7,7
"79",4,7,9,7
"80",3,6,7,7
"81",4,4,3,4
"82",5,7,8,6
"84",5,7,8,7
"85",4,7,6,8
"86",6,5,4,6
"87",3,7,9,9
"88",7,6,7,7
"89",8,4,8,8
"90",8,9,9,10
"91",5,5,7,6
"92",6,6,8,10
"93",5,6,7,7
"94",7,7,8,9
"95",6,7,9,9
"96",5,7,7,6
"97",5,7,9,9
"98",4,5,4,7
"99",8,3,3,7
"101",5,8,8,7
"102",6,7,8,9
"103",7,6,7,7
"104",8,6,5,5
"105",3,7,9,8
"106",6,6,8,8
"107",2,6,7,7
"108",7,6,7,4
"109",2,7,9,7
"110",2,7,8,8
"112",5,5,6,7
"113",5,5,6,8
"115",7,7,8,8
"116",5,6,6,7
"117",3,7,8,7
"118",5,7,7,8
"119",8,5,5,8
"120",3,7,8,8
"121",5,6,6,7
"122",5,6,6,6
"123",7,8,9,10
"124",5,6,5,7
"127",6,7,8,8
"128",8,8,7,8
"129",7,6,5,6
"130",5,3,3,7
"131",5,4,6,6
"132",7,5,5,7
"133",10,10,10,10
"134",10,5,6,8
"135",8,7,8,8
"136",7,7,8,8
"137",5,7,6,7
"138",8,7,8,6
"139",4,7,8,8
"140",2,6,7,7
"141",4,7,7,8
"142",5,7,8,6
"143",2,8,7,7
"144",9,4,7,8
"145",5,7,7,7
"146",2,7,7,7
"147",6,4,7,4
"148",6,6,9,7
"149",8,10,5,7
"150",5,9,6,3
"151",4,3,7,7
"152",6,6,5,4
"153",6,5,5,6
"154",5,7,8,8
"155",7,6,4,8
"156",7,7,8,7
"157",8,4,4,5
"158",4,7,9,8
"159",6,7,9,9
"160",7,4,4,7
"161",6,6,8,7
"162",5,4,6,3
"163",7,0,2,5
"164",10,8,9,9
"165",5,7,8,8
"166",5,2,2,2
"167",2,7,8,8
"168",3,5,7,8
"169",5,8,8,8
"170",7,7,5,6
"171",6,2,2,6
"173",5,5,6,5
"174",7,7,8,9
"175",8,4,6,0
"176",5,7,8,8
"178",7,7,8,8
"179",5,7,7,7
"180",4,7,7,8
"181",5,6,8,8
"182",8,7,9,8
"185",5,8,7,8
"186",6,7,8,8
"187",5,6,7,9
"188",5,5,6,7
"189",2,6,8,6
"190",3,7,8,8
"191",9,3,7,7
"192",6,7,8,8
"193",2,8,6,5
"194",5,7,7,8
"197",8,4,3,5
"198",3,6,9,8
"199",7,0,8,6
"200",8,6,8,9
"201",3,6,8,7
"202",5,8,8,7
"203",8,6,7,7
"204",8,6,7,5
"205",5,6,7,7
"206",7,7,7,8
"207",7,7,8,8
"208",7,9,10,9
"209",4,6,8,7
"210",2,3,9,9
"211",8,4,1,2
"212",4,8,8,9
"213",4,5,7,7
"214",7,5,4,8
"215",1,5,7,7
"216",2,6,8,8
"217",5,7,8,7
"218",4,5,7,6
"220",3,2,6,6
"221",8,6,8,8
"222",0,7,8,6
"223",5,7,8,8
"224",4,7,5,6
"225",1,8,9,8
"226",2,6,8,6
"228",3,5,5,0
"229",8,8,9,7
"230",0,5,5,5
"231",8,5,8,8
"232",5,8,6,5
"233",2,4,7,7
"234",0,7,5,8
"235",6,1,1,6
"236",3,8,8,8
"237",7,7,7,8
"238",8,8,8,7
"239",0,3,6,7
"240",3,6,6,6
"241",6,7,7,8
"242",7,7,7,8
"243",6,4,8,6
"244",7,7,8,8
"245",10,4,4,5
"246",7,2,5,7
"247",2,7,3,8
"248",5,5,5,5
"249",7,7,6,5
"250",8,7,7,7
"251",2,9,10,10
"252",5,6,9,8
"253",5,8,10,9
"254",4,8,9,8
"255",2,6,8,6
"257",3,7,8,7
"258",5,7,7,8
"259",1,7,8,8
"260",5,6,7,6
"261",6,4,7,8
"262",8,1,1,3
"263",3,8,8,8
